r030,txt,rate,cc,exchangedate
484,Мексиканське песо,1.4151,MXN,09.01.2021
498,Молдовський лей,1.6524,MDL,09.01.2021
554,Новозеландський долар,20.4429,NZD,09.01.2021
578,Норвезька крона,3.3299,NOK,09.01.2021
643,Російський рубль,0.37951,RUB,09.01.2021
682,Саудівський ріял,7.5711,SAR,09.01.2021
702,Сінгапурський долар,21.5336,SGD,09.01.2021
710,Ренд,1.8893,ZAR,09.01.2021
752,Шведська крона,3.4668,SEK,09.01.2021
756,Швейцарський франк,32.2594,CHF,09.01.2021
818,Єгипетський фунт,1.811,EGP,09.01.2021
826,Фунт стерлінгів,38.5568,GBP,09.01.2021
840,Долар США,28.4028,USD,09.01.2021
933,Білоруський рубль,10.9651,BYN,09.01.2021
944,Азербайджанський манат,16.7183,AZN,09.01.2021
946,Румунський лей,7.1542,RON,09.01.2021
949,Турецька ліра,3.8424,TRY,09.01.2021
960,СПЗ (спеціальні права запозичення),41.0897,XDR,09.01.2021
975,Болгарський лев,17.8119,BGN,09.01.2021
978,Євро,34.846,EUR,09.01.2021
985,Злотий,7.6607,PLN,09.01.2021
12,Алжирський динар,0.21416,DZD,09.01.2021
50,Така,0.33343,BDT,09.01.2021
51,Вірменський драм,0.054105,AMD,09.01.2021
364,Іранський ріал,0.0006732,IRR,09.01.2021
368,Іракський динар,0.019366,IQD,09.01.2021
417,Сом,0.3421,KGS,09.01.2021
422,Ліванський фунт,0.018756,LBP,09.01.2021
434,Лівійський динар,21.1383,LYD,09.01.2021
458,Малайзійський ринггіт,7.0047,MYR,09.01.2021
504,Марокканський дирхам,3.1763,MAD,09.01.2021
704,Донг,0.0012244,VND,09.01.2021
764,Бат,0.9445,THB,09.01.2021
784,Дирхам ОАЕ,7.698,AED,09.01.2021
788,Туніський динар,10.5192,TND,09.01.2021
860,Узбецький сум,0.0026988,UZS,09.01.2021
901,Новий тайванський долар,1.006,TWD,09.01.2021
934,Туркменський новий манат,8.0785,TMT,09.01.2021
936,Ганське седі,4.8198,GHS,09.01.2021
941,Сербський динар,0.29536,RSD,09.01.2021
972,Сомоні,2.5022,TJS,09.01.2021
981,Ларі,8.6366,GEL,09.01.2021
986,Бразильський реал,5.4505,BRL,09.01.2021
959,Золото,55324.39,XAU,09.01.2021
961,Срібло,777.81,XAG,09.01.2021
